DRIVER	USER	Pickup LOCATION	Drop LOCATION	RATING	Pickup time	Drop time	Status	Fare
hgianillib	ptowleri1	2354	2929	5	18:58:15	09:07:50	Completed	35
rhowlings2m	cspeekkq	3475	4711	3	21:55:50	06:20:23	Completed	70
bgamlyn7l	cburtenshaweg	4637	2243	5	13:27:37	00:24:40	Completed	9
ncrutchleyb4	aholde6d	4283	937	4	16:57:11	15:24:51	Completed	13
clittefairbk	eskokoerq	3416	1012	5	10:47:38	12:45:47	Completed	19
lduesburyee	ndimockfg	3222	4417	3	22:01:39	14:12:56	Completed	70
skynderfa	bchildesdo	6037	5280	5	14:33:51	20:46:03	Completed	55
friepha	lfulbrookqf	1108	5567	4	16:54:35	11:06:03	Completed	35
calevequeip	nrodriguezkw	1764	3402	4	15:40:21	17:38:33	Completed	52
lnizetj2	cgemellibx	6037	3743	3	13:12:07	04:49:15	Completed	79
hmcvittyn5	mthorouggoodbd	716	3771	3	05:53:20	00:24:02	Completed	51
mmcglonenx	cgemellibx	3978	3108	3	03:01:32	22:57:37	Completed	25
hleverentzr3	gdummettp3	5532	1367	5	03:18:50	01:43:21	Completed	55
rcrambg	bshakesbygw	421	813	4	11:02:19	07:28:08	Completed	15
rpoizer28	kpoweop	3086	1012	5	07:31:47	07:01:26	Completed	25
arubenovic45	jdominiakjn	3439	5688	3	22:52:30	06:46:51	Completed	45
rgowling5f	btreslover	3748	2401	3	08:37:03	19:21:35	Completed	65
adrohan6q	ecowopea1	2401	4975	3	02:56:57	12:39:14	Completed	21
meuston8t	acleworthci	796	4692	3	22:43:05	21:56:07	Completed	65
eburryhp	wmassard52	4944	4969	4	10:05:15	15:43:49	Completed	19
lduckkn	ecowopea1	5148	2776	5	16:57:26	16:26:35	Completed	48
bstentlr	aswait5y	3962	911	3	19:56:57	07:10:17	Completed	55
mpendockmq	mnossent7c	3027	2221	4	07:02:11	13:48:51	Completed	78
cbynetho3	amortenmz	3247	212	4	18:16:27	13:38:43	Completed	25
hjobbingqe	ymattheus3f	1409	771	5	15:25:13	07:26:04	Completed	17
fgiffon1q	mmulcahyjh	5073	2527	4	00:27:39	05:44:09	Completed	77
adewerk1r	rwasec5	4959	5659	3	12:29:58	11:45:08	Completed	29
wcoombes3b	gbramleyk3	1294	235	5	06:33:55	22:59:31	Completed	39
egilardonea7	bsaggs	4658	4075	3	02:25:09	01:00:55	Completed	59
preallybz	bstertki	1597	5237	5	20:15:00	12:12:29	Completed	61
nfrottondv	cwelbrock50	1483	155	5	03:19:24	14:53:16	Completed	32
kbalfourh6	ptowleri1	4480	4309	4	11:22:19	17:47:19	Completed	20
swiszniewskiid	hbeenhamm5	1863	537	5	06:09:49	05:46:59	Completed	6
dbankslg	syellowleymi	3173	292	4	10:48:29	06:23:07	Completed	63
nwillavoysma	dalyoshindi	2956	3790	3	10:57:01	21:39:56	Completed	12
lhagstonmg	qkubczak7o	984	1913	5	10:58:57	09:47:09	Completed	79
pgullenp3	tcowlishaw3d	386	2989	5	16:12:13	09:25:26	Completed	23
jquantrellpv	lfulbrookqf	3189	3021	3	21:39:23	17:29:11	Completed	58
rkilbyr6	syellowleymi	3416	627	5	16:51:39	21:25:00	Completed	15
bawty1n	eyearnsleykz	3443	2527	5	21:59:28	04:13:18	Completed	23
dfranzotto4x	bsutcliffeoa	5857	421	4	20:31:20	09:13:08	Completed	18
sblazi4z	hbogaysda	3619	3180	5	04:13:21	18:33:47	Completed	61
uthickao	myounglovehl	5174	5886	1	19:15:29	03:44:30	Completed	12
scavilaz	hfitterqs	4449	2334	4	07:02:21	07:12:19	Completed	7
gantonsenca	eandriolihi	1445	3370	4	02:41:26	16:30:23	Completed	55
akittredgecm	rdiblingm	4161	5177	5	21:38:52	03:50:21	Completed	12
qleckiehu	cdampbr	3834	549	4	14:49:16	13:25:53	Completed	38
cmonnijx	mdoucettem2	2064	801	3	10:54:23	05:16:06	Completed	75
jeffauntna	pgeorgelin3n	3462	5845	4	05:59:19	16:19:27	Completed	62
mellicept	ijacobowitz9f	3873	960	5	15:51:10	18:55:08	Completed	25
ppowdrellqf	mglandfieldj2	3918	3632	5	02:32:31	08:30:51	Completed	64
nmccaghanqo	khaimes3s	4143	1731	5	10:18:38	09:56:15	Completed	12
bmustill8	cgermonpx	5484	5501	4	03:23:39	11:59:45	Completed	44
mhalligan15	lmartinolli6c	868	5741	5	20:39:17	16:07:41	Completed	30
faleevy3b	cburtenshaweg	2887	4747	4	11:37:23	11:42:45	Completed	72
usebert4y	ijacobowitz9f	4069	1194	3	07:40:42	04:15:40	Completed	60
csparkwell7f	rwasec5	4711	1377	2	20:36:40	06:05:47	Completed	24
mbarfford7v	cgemellibx	6016	3626	4	03:38:41	10:33:03	Completed	35
scampe84	dbenallack4y	6016	1237	4	05:35:45	07:22:38	Completed	26
rwoolgara5	hlewtyfm	1445	793	1	04:20:27	21:46:34	Completed	17
emeekina7	cgermonpx	5762	138	5	01:37:25	16:50:59	Completed	17
rpriddieaa	gwegnerod	3443	1739	5	16:21:21	21:05:05	Completed	42
rmachentau	churllh8	1674	5860	4	02:16:45	07:18:17	Completed	77
nmarranda	ltrothay	549	3626	5	01:04:17	12:55:33	Completed	44
baltoftsee	awickendonhl	1294	2606	5	13:46:49	09:05:47	Completed	29
jmarcinkowskif9	bdimitru34	196	174	5	17:35:28	08:01:30	Completed	7
ogyppesh9	jromayn1s	692	2720	5	01:02:19	17:02:03	Completed	66
fpoznanskik0	gdogg9t	3639	5701	5	12:22:33	00:29:23	Completed	36
mconaghankl	hbeenhamm5	1204	3442	3	09:15:01	19:15:55	Completed	42
wkaesmanso2	rhexum3v	4454	1368	5	19:50:39	16:28:10	Completed	33
hhonacker14	wmassard52	5659	4450	5	21:32:05	03:12:49	Completed	20
fsnoad1n	rtorricinade	62	3978	4	02:41:09	18:41:45	Completed	13
skerfoot5e	bshakesbygw	1244	5721	4	03:57:20	07:06:47	Completed	60
hbridgement5f	jtegellerea	5804	3695	4	05:00:38	01:04:16	Completed	31
chelsbycz	ptorranskn	3413	4309	4	17:12:24	07:31:23	Completed	68
gmomforddb	swankelk3	3510	3850	3	13:33:57	04:49:47	Completed	27
gbeechamfj	mglandfieldj2	1340	6034	5	09:50:01	14:44:11	Completed	80
scasonifl	rlearied5	444	537	5	07:02:53	02:53:25	Completed	71
scordinglygx	dgoodlakeim	5795	2721	5	00:13:12	08:55:02	Completed	56
hmcgarriehq	tpummerypi	3411	570	5	11:16:33	04:08:36	Completed	12
fbrattonl2	dvegasqs	1623	2524	3	06:22:12	07:42:03	Completed	79
bingerfieldly	tackroydpd	4975	2294	5	02:34:58	21:15:20	Completed	52
vpulleyml	bhanmer1z	419	2362	5	18:56:33	19:06:07	Completed	80
awilmottou	lfulbrookqf	5647	3632	3	06:28:09	16:17:55	Completed	42
tsheepypm	dtichelaarpi	4161	5532	3	05:36:25	12:34:28	Completed	24
jrings3u	brimbault4u	353	2304	4	16:21:33	09:32:50	Completed	58
ksemmence42	dprendivilleo	5339	1528	5	00:58:27	22:54:13	Completed	77
pcaplen80	jsiddency	3385	3256	4	14:58:07	06:55:58	Completed	37
werangybb	dladbrook9m	3619	3944	5	13:21:19	09:16:18	Completed	41
bshynnfn	bubsdaleec	5152	4338	3	09:36:51	02:47:06	Completed	51
hmuzzillofv	fwallagejp	2642	4071	5	18:47:07	20:09:39	Completed	14
rmatthesiushx	bjohnikinrh	5000	2570	3	07:52:53	22:37:26	Completed	27
kabrashkovll	whackettp8	3173	5038	3	11:43:49	02:57:54	Completed	26
cchastenetls	hbeenhamm5	5583	3007	5	04:50:38	05:38:20	Completed	19
umullordp8	awreakes8x	5038	5447	5	11:46:31	16:08:06	Completed	37
bbarteletm	rscuttspb	5532	3748	4	18:26:42	01:29:32	Completed	22
edafforne24	qkubczak7o	2142	4464	4	00:33:22	15:31:12	Completed	74
pmuscat2m	aswait5y	1108	4070	3	18:29:08	13:39:55	Completed	40
